=== EXP3: Gamma Initialization Strategies ===

[EXP3] Dataset: xor_1d
[EXP3][xor_2d][Full][theta_ratio] epoch 020/200 | loss=624406.0646 | acc=0.5000
[EXP3][xor_2d][Full][theta_ratio] epoch 040/200 | loss=374710.1266 | acc=0.5000
[EXP3][xor_2d][Full][theta_ratio] epoch 060/200 | loss=244017.3793 | acc=0.5000
[EXP3][xor_2d][Full][theta_ratio] epoch 080/200 | loss=259072.1412 | acc=0.5000
[EXP3][xor_2d][Full][theta_ratio] epoch 100/200 | loss=558712.5896 | acc=0.5000
[EXP3][xor_2d][Full][theta_ratio] epoch 120/200 | loss=372677.1031 | acc=0.5000
[EXP3][xor_2d][Full][theta_ratio] epoch 140/200 | loss=243562.6750 | acc=0.5000
[EXP3][xor_2d][Full][theta_ratio] epoch 160/200 | loss=171388.1645 | acc=0.5000
[EXP3][xor_2d][Full][theta_ratio] epoch 180/200 | loss=546706.2562 | acc=0.5000
[EXP3][xor_2d][Full][theta_ratio] epoch 200/200 | loss=178138.5629 | acc=0.5000
[EXP3][xor_2d][Net1L][theta_ratio] epoch 001/200 | loss=73789289.2000 | acc=0.5000
[EXP3][xor_2d][Net1L][theta_ratio] epoch 020/200 | loss=236463.8939 | acc=0.5000
[EXP3][xor_2d][Net1L][theta_ratio] epoch 040/200 | loss=96813.1854 | acc=0.5000
[EXP3][xor_2d][Net1L][theta_ratio] epoch 060/200 | loss=244075.2672 | acc=0.5000
[EXP3][xor_2d][Net1L][theta_ratio] epoch 080/200 | loss=117504.1756 | acc=0.5000
[EXP3][xor_2d][Net1L][theta_ratio] epoch 100/200 | loss=185827.4185 | acc=0.5000
[EXP3][xor_2d][Net1L][theta_ratio] epoch 120/200 | loss=53849.5549 | acc=0.5000
[EXP3][xor_2d][Net1L][theta_ratio] epoch 140/200 | loss=44634.9761 | acc=0.5000
[EXP3][xor_2d][Net1L][theta_ratio] epoch 160/200 | loss=71036.0998 | acc=0.5000
[EXP3][xor_2d][Net1L][theta_ratio] epoch 180/200 | loss=17092.9399 | acc=0.5000
[EXP3][xor_2d][Net1L][theta_ratio] epoch 200/200 | loss=22351.2117 | acc=0.5000

[EXP3] Dataset: xor_3d
[EXP3][xor_3d][Full][zeros] epoch 001/200 | loss=1.3217 | acc=0.5062
[EXP3][xor_3d][Full][zeros] epoch 020/200 | loss=0.6977 | acc=0.5500
[EXP3][xor_3d][Full][zeros] epoch 040/200 | loss=0.6899 | acc=0.5437
[EXP3][xor_3d][Full][zeros] epoch 060/200 | loss=0.6855 | acc=0.5250
[EXP3][xor_3d][Full][zeros] epoch 080/200 | loss=0.6814 | acc=0.5750
[EXP3][xor_3d][Full][zeros] epoch 100/200 | loss=0.6771 | acc=0.5375
[EXP3][xor_3d][Full][zeros] epoch 120/200 | loss=0.6760 | acc=0.5437
[EXP3][xor_3d][Full][zeros] epoch 140/200 | loss=0.6707 | acc=0.5563
[EXP3][xor_3d][Full][zeros] epoch 160/200 | loss=0.6849 | acc=0.5938
[EXP3][xor_3d][Full][zeros] epoch 180/200 | loss=0.6717 | acc=0.5813
[EXP3][xor_3d][Full][zeros] epoch 200/200 | loss=0.6703 | acc=0.5813
[EXP3][xor_3d][Net1L][zeros] epoch 001/200 | loss=1.6161 | acc=0.5000
[EXP3][xor_3d][Net1L][zeros] epoch 020/200 | loss=0.6330 | acc=0.6875
[EXP3][xor_3d][Net1L][zeros] epoch 040/200 | loss=0.4200 | acc=0.8000
[EXP3][xor_3d][Net1L][zeros] epoch 060/200 | loss=0.3429 | acc=0.8187
