
[RUN 20260518_104348]
Device: cuda | Batch: 32 | Epochs: 200 | K-Folds: 5
Model: size=50, perceptrons=5, partition=False, workers=16
LR: gamma=0.0010, lambda=0.0050, offset=0.0100, combiner=0.0050
SA: beta=[1, 10], reads=1, sweeps=1000
Init: lambda=1.0000, offset=1.0000

Datasets directory: /root/global/QuantumAnnealerModule/Inference/Datasets/Datasets_unbalanced

[Dataset 1/9: 00_iris_versicolor_virginica]
Loading dataset from: /root/global/QuantumAnnealerModule/Inference/Datasets/Datasets_unbalanced/00_iris_versicolor_virginica.csv
Dataset num features: X=(100, 4),
Class distribution: [50 50]
Running 5-Fold Cross Validation
Fold 1/5
  Training FullIsingModule...
Using model size: 50
  Epoch 150/200 | Loss: 0.5857
  Epoch 155/200 | Loss: 0.5858
  Epoch 160/200 | Loss: 0.6096
  Epoch 165/200 | Loss: 0.5808
  Epoch 170/200 | Loss: 0.5718
  Epoch 175/200 | Loss: 0.5619
  Epoch 180/200 | Loss: 0.5842
  Epoch 185/200 | Loss: 0.5688
  Epoch 190/200 | Loss: 0.5893
  Epoch 195/200 | Loss: 0.5789
  Epoch 200/200 | Loss: 0.5640
  Single  | acc=0.6000 prec=0.6667 rec=0.4000 f1=0.5000 auc=0.5200
  Training ModularNetwork...
Using model size: 50
  Epoch 1/200 | Loss: 20.5590
  Epoch 5/200 | Loss: 10.8014
  Epoch 10/200 | Loss: 1.8219
  Epoch 15/200 | Loss: 1.0832
  Epoch 20/200 | Loss: 0.6689
  Epoch 25/200 | Loss: 0.4464
  Epoch 30/200 | Loss: 0.3435
  Epoch 35/200 | Loss: 0.2968
  Epoch 40/200 | Loss: 0.2925
  Epoch 45/200 | Loss: 0.2507
  Epoch 50/200 | Loss: 0.2336
  Epoch 55/200 | Loss: 0.2136
  Epoch 60/200 | Loss: 0.2013
  Epoch 65/200 | Loss: 0.1921
  Epoch 70/200 | Loss: 0.1832
  Epoch 75/200 | Loss: 0.1746
  Epoch 80/200 | Loss: 0.1588
  Epoch 85/200 | Loss: 0.1600
  Epoch 90/200 | Loss: 0.1522
  Epoch 95/200 | Loss: 0.1481
  Epoch 100/200 | Loss: 0.1361
  Epoch 105/200 | Loss: 0.1277
  Epoch 110/200 | Loss: 0.1269
  Epoch 115/200 | Loss: 0.1202
  Epoch 120/200 | Loss: 0.1107
  Epoch 125/200 | Loss: 0.1020
  Epoch 130/200 | Loss: 0.1027
  Epoch 135/200 | Loss: 0.0993
  Epoch 140/200 | Loss: 0.0986
  Epoch 145/200 | Loss: 0.0871
  Epoch 150/200 | Loss: 0.0852
  Epoch 155/200 | Loss: 0.0816
  Epoch 160/200 | Loss: 0.0800
  Epoch 165/200 | Loss: 0.0744
  Epoch 170/200 | Loss: 0.0738
  Epoch 175/200 | Loss: 0.0675
  Epoch 180/200 | Loss: 0.0660
  Epoch 185/200 | Loss: 0.0687
  Epoch 190/200 | Loss: 0.0630
  Epoch 195/200 | Loss: 0.0630
