=== EXP1: Matrix FullIsing vs Network1L ===

[EXP1] Dataset: xor_1d
[EXP1][xor_1d][Net1L][n=1][size=10] epoch 100/150 | loss=0.2432 | acc=0.4500
[EXP1][xor_1d][Net1L][n=1][size=10] epoch 120/150 | loss=0.2426 | acc=0.4500
[EXP1][xor_1d][Net1L][n=1][size=10] epoch 140/150 | loss=0.2430 | acc=0.4500
[EXP1][xor_1d][Net1L][n=1][size=10] epoch 150/150 | loss=0.2426 | acc=0.4500
[EXP1][xor_1d][Net1L][n=2][size=10] epoch 001/150 | loss=0.3075 | acc=0.5000
[EXP1][xor_1d][Net1L][n=2][size=10] epoch 020/150 | loss=0.2432 | acc=0.4000
[EXP1][xor_1d][Net1L][n=2][size=10] epoch 040/150 | loss=0.2428 | acc=0.4500
[EXP1][xor_1d][Net1L][n=2][size=10] epoch 060/150 | loss=0.2430 | acc=0.4500
[EXP1][xor_1d][Net1L][n=2][size=10] epoch 080/150 | loss=0.2429 | acc=0.4500
[EXP1][xor_1d][Net1L][n=2][size=10] epoch 100/150 | loss=0.2421 | acc=0.4500
[EXP1][xor_1d][Net1L][n=2][size=10] epoch 120/150 | loss=0.2423 | acc=0.4500
[EXP1][xor_1d][Net1L][n=2][size=10] epoch 140/150 | loss=0.2401 | acc=0.4500
[EXP1][xor_1d][Net1L][n=2][size=10] epoch 150/150 | loss=0.2399 | acc=0.4500
[EXP1][xor_1d][Net1L][n=3][size=10] epoch 001/150 | loss=0.2481 | acc=0.3750
[EXP1][xor_1d][Net1L][n=3][size=10] epoch 020/150 | loss=0.2436 | acc=0.4250
[EXP1][xor_1d][Net1L][n=3][size=10] epoch 040/150 | loss=0.2428 | acc=0.4250
[EXP1][xor_1d][Net1L][n=3][size=10] epoch 060/150 | loss=0.2430 | acc=0.4500
[EXP1][xor_1d][Net1L][n=3][size=10] epoch 080/150 | loss=0.2426 | acc=0.4250
[EXP1][xor_1d][Net1L][n=3][size=10] epoch 100/150 | loss=0.2427 | acc=0.4500
[EXP1][xor_1d][Net1L][n=3][size=10] epoch 120/150 | loss=0.2427 | acc=0.4500
[EXP1][xor_1d][Net1L][n=3][size=10] epoch 140/150 | loss=0.2427 | acc=0.4500
[EXP1][xor_1d][Net1L][n=3][size=10] epoch 150/150 | loss=0.2431 | acc=0.4250
[EXP1][xor_1d][Net1L][n=5][size=10] epoch 001/150 | loss=0.3168 | acc=0.5000
[EXP1][xor_1d][Net1L][n=5][size=10] epoch 020/150 | loss=0.2435 | acc=0.4000
[EXP1][xor_1d][Net1L][n=5][size=10] epoch 040/150 | loss=0.2428 | acc=0.4500
[EXP1][xor_1d][Net1L][n=5][size=10] epoch 060/150 | loss=0.2426 | acc=0.4500
[EXP1][xor_1d][Net1L][n=5][size=10] epoch 080/150 | loss=0.2425 | acc=0.4500
[EXP1][xor_1d][Net1L][n=5][size=10] epoch 100/150 | loss=0.2430 | acc=0.4250
[EXP1][xor_1d][Net1L][n=5][size=10] epoch 120/150 | loss=0.2408 | acc=0.4500
[EXP1][xor_1d][Net1L][n=5][size=10] epoch 140/150 | loss=0.2401 | acc=0.4500
[EXP1][xor_1d][Net1L][n=5][size=10] epoch 150/150 | loss=0.2377 | acc=0.4500
[EXP1][xor_1d][Net1L][n=8][size=10] epoch 001/150 | loss=0.2791 | acc=0.5000
[EXP1][xor_1d][Net1L][n=8][size=10] epoch 020/150 | loss=0.2456 | acc=0.4500
[EXP1][xor_1d][Net1L][n=8][size=10] epoch 040/150 | loss=0.2430 | acc=0.4250
[EXP1][xor_1d][Net1L][n=8][size=10] epoch 060/150 | loss=0.2423 | acc=0.4000
[EXP1][xor_1d][Net1L][n=8][size=10] epoch 080/150 | loss=0.2420 | acc=0.4500
[EXP1][xor_1d][Net1L][n=8][size=10] epoch 100/150 | loss=0.2410 | acc=0.4500
[EXP1][xor_1d][Net1L][n=8][size=10] epoch 120/150 | loss=0.2415 | acc=0.4250
