=== EXP2: Offset Sweep ===

[EXP2] Dataset: xor_1d
[EXP2][xor_2d][FullIsing_small_neg][fold=1] epoch 160/200 | loss=0.3608 | acc=0.8500
[EXP2][xor_2d][FullIsing_small_neg][fold=1] epoch 180/200 | loss=0.3557 | acc=0.8375
[EXP2][xor_2d][FullIsing_small_neg][fold=1] epoch 200/200 | loss=0.3576 | acc=0.8250
[EXP2][xor_2d][FullIsing_large_neg][fold=1] epoch 001/200 | loss=2.7340 | acc=0.5000
[EXP2][xor_2d][FullIsing_large_neg][fold=1] epoch 020/200 | loss=0.6884 | acc=0.4625
[EXP2][xor_2d][FullIsing_large_neg][fold=1] epoch 040/200 | loss=0.6658 | acc=0.5250
[EXP2][xor_2d][FullIsing_large_neg][fold=1] epoch 060/200 | loss=0.6338 | acc=0.5875
[EXP2][xor_2d][FullIsing_large_neg][fold=1] epoch 080/200 | loss=0.6061 | acc=0.6250
[EXP2][xor_2d][FullIsing_large_neg][fold=1] epoch 100/200 | loss=0.5907 | acc=0.6625
[EXP2][xor_2d][FullIsing_large_neg][fold=1] epoch 120/200 | loss=0.5679 | acc=0.6625
[EXP2][xor_2d][FullIsing_large_neg][fold=1] epoch 140/200 | loss=0.5534 | acc=0.6625
[EXP2][xor_2d][FullIsing_large_neg][fold=1] epoch 160/200 | loss=0.5415 | acc=0.7000
[EXP2][xor_2d][FullIsing_large_neg][fold=1] epoch 180/200 | loss=0.5305 | acc=0.6875
[EXP2][xor_2d][FullIsing_large_neg][fold=1] epoch 200/200 | loss=0.5290 | acc=0.7125
[EXP2][xor_2d][FullIsing_large_pos][fold=1] epoch 001/200 | loss=2.6764 | acc=0.5000
[EXP2][xor_2d][FullIsing_large_pos][fold=1] epoch 020/200 | loss=0.6855 | acc=0.5250
[EXP2][xor_2d][FullIsing_large_pos][fold=1] epoch 040/200 | loss=0.6558 | acc=0.6000
[EXP2][xor_2d][FullIsing_large_pos][fold=1] epoch 060/200 | loss=0.6284 | acc=0.6625
[EXP2][xor_2d][FullIsing_large_pos][fold=1] epoch 080/200 | loss=0.6058 | acc=0.7000
[EXP2][xor_2d][FullIsing_large_pos][fold=1] epoch 100/200 | loss=0.5926 | acc=0.6625
[EXP2][xor_2d][FullIsing_large_pos][fold=1] epoch 120/200 | loss=0.5774 | acc=0.7375
[EXP2][xor_2d][FullIsing_large_pos][fold=1] epoch 140/200 | loss=0.5630 | acc=0.7250
[EXP2][xor_2d][FullIsing_large_pos][fold=1] epoch 160/200 | loss=0.5537 | acc=0.7000
[EXP2][xor_2d][FullIsing_large_pos][fold=1] epoch 180/200 | loss=0.5447 | acc=0.7250
[EXP2][xor_2d][FullIsing_large_pos][fold=1] epoch 200/200 | loss=0.5457 | acc=0.7125
[EXP2][xor_2d][Net1L_default][fold=1] epoch 001/200 | loss=2.0594 | acc=0.5000
[EXP2][xor_2d][Net1L_default][fold=1] epoch 020/200 | loss=0.2464 | acc=0.8750
[EXP2][xor_2d][Net1L_default][fold=1] epoch 040/200 | loss=0.2366 | acc=0.8750
[EXP2][xor_2d][Net1L_default][fold=1] epoch 060/200 | loss=0.2031 | acc=0.9000
